mdate,inflacion,desempleo,M2,month,yr,M2_growth,i_hat,i_stdv2,M2_growth_hat2,desempleo_hat2,i_TEST,AR4_lag1,inf_out1,forecast_error1,AR4_lag2,inf_out2,forecast_error2,DM_AR4_lag1,DM_AR4_lag2,delta_L,i_stdv3,i_Up_95ci2,i_Dw_95ci2,i_Up_90ci2,i_Dw_90ci2,i_stdv,i_Up_95ci,i_Dw_95ci,i_Up_90ci,i_Dw_90ci,date1,DM_1,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,i_hat_modelo2,DM_2,DM_dif
1995m1,8.5,7.514260995,9277.90235914882,1,1995,,4.3870816,7.6425133,7.4874721,7.4572492,4.5430346,,,,,,,,,,.2856431,5.4346151,3.3395481,5.2849674,3.4891958,7.6425133,9.8055201,-1.0313572,9.0314579,-.25729448,1995m2,16.916098,0,0,0,0,0,0,0,0,0,0,0,,,
1995m2,8.699999999999999,7.253083102,9379.39511536423,2,1995,,8.4436903,.24605145,7.4718895,7.5992827,4.4288797,,,,,,,,,,.2856431,9.4912243,7.3961568,9.3415766,7.5458045,.24605145,9.4159203,7.4714603,9.27703,7.6103501,1995m3,.06569466,1,0,0,0,0,0,0,0,0,0,0,,,
1995m3,8.199999999999999,7.347908283,9599.293158178691,3,1995,,8.6949682,.20463619,7.4382024,7.3835449,4.8115773,,,,,,,,,,.2856431,9.7425022,7.6474347,9.5928545,7.7970824,.20463619,9.5816078,7.8083282,9.4549456,7.9349914,1995m4,.24499354,0,1,0,0,0,0,0,0,0,0,0,,,
1995m4,8.300000000000001,7.09237466,9648.812720585531,4,1995,,7.9158773,.202445,7.484971,7.2988725,4.8630018,,,,,,,,,,.2856431,8.9634113,6.8683438,8.8137636,7.0179915,.202445,8.7977571,7.0339971,8.6717749,7.1599798,1995m5,.14755021,0,0,1,0,0,0,0,0,0,0,0,,,
1995m5,7.4,7.480422218,9675.9172383474,5,1995,,8.2006626,.19588684,7.5331664,7.3423357,5.5684566,,,,,,,,,,.2856431,9.2481966,7.1531291,9.0985489,7.3027768,.19588684,9.068141,7.3331842,8.9442158,7.4571095,1995m6,.64106059,0,0,0,1,0,0,0,0,0,0,0,,,
1995m6,7.6,7.729648923,9955.044574830299,6,1995,,6.942668,.19588684,7.4797416,7.6910553,5.3737535,,,,,,,,,,.2856431,7.9902015,5.8951344,7.8405538,6.0447822,.19588684,7.8101463,6.0751896,7.6862211,6.1991148,1995m7,.43208539,0,0,0,0,1,0,0,0,0,0,0,,,
1995m7,7.9,7.946490708,9911.91527353166,7,1995,,7.5772491,.19588684,7.5467443,8.0232182,5.2177849,,,,,,,,,,.2856431,8.6247826,6.5297155,8.4751348,6.6793633,.19588684,8.4447279,6.7097707,8.3208017,6.8336959,1995m8,.10416818,0,0,0,0,0,1,0,0,0,0,0,,,
1995m8,8.5,7.857533419,9947.621973766871,8,1995,,7.7555242,.19588684,7.5598555,8.0374575,4.7957783,,,,,,,,,,.2856431,8.8030577,6.7079906,8.65341,6.8576384,.19588684,8.623003,6.8880458,8.4990768,7.011971,1995m9,.55424428,0,0,0,0,0,0,1,0,0,0,0,,,
1995m9,8.6,7.599626572,10133.7358584126,9,1995,,8.6264133,.19588684,7.5480213,7.7132835,4.7217083,,,,,,,,,,.2856431,9.6739473,7.5788798,9.5242996,7.7285275,.19588684,9.4938917,7.758935,9.3699665,7.8828602,1995m10,.0006976648,0,0,0,0,0,0,0,1,0,0,0,,,
1995m10,8.800000000000001,7.257975898,10195.9483688301,10,1995,,8.5883551,.19588684,7.5828528,7.2070313,4.6093264,,,,,,,,,,.2856431,9.6358891,7.5408216,9.4862413,7.6904693,.19588684,9.4558334,7.7208767,9.3319082,7.8448019,1995m11,.04479358,0,0,0,0,0,0,0,0,1,0,0,,,
1995m11,8.199999999999999,6.814296772,10161.2848098359,11,1995,,8.868784,.19588684,7.6321898,6.7970915,5.1184616,,,,,,,,,,.2856431,9.9163179,7.8212504,9.7666702,7.9708982,.19588684,9.7362623,8.0013056,9.6123371,8.1252308,1995m12,.44727197,0,0,0,0,0,0,0,0,0,1,0,,,
1995m12,8.199999999999999,6.569258715,10516.7199319946,12,1995,,7.9014544,.19588684,7.590044,6.4489174,5.0455465,,,,,,,,,,.2856431,8.948988,6.8539209,8.7993402,7.0035686,.19588684,8.7689333,7.0339761,8.6450071,7.1579013,1996m1,.089129448,0,0,0,0,0,0,0,0,0,0,1,,,
