,Celulosa,Cobre,Conservas y preparaciones de pescados y mariscos,Minerales de cobre y sus concentrados,Real_Brasil/ USD,Peso_Chile/ USD,Yuan_China/ USD,Yen_Japon/ USD, TPM_chile,TPM_usa,TPM_china,IPI_Chile,IPM_China,IPI_Japon,IPI_Brasil,IPI_EUA,Inv. de B.M.L.  (Toneladas Metricas),Precio BM ($/mt)
2017-01-01,173771517.68,1353765761.18,24070942.09,1456702823.1299999,3.2,661.19,6.86,114.96,3.4,0.65,4.3,-0.011,51.3,0.005,-0.011,0.008,261.325,121.37
2017-02-01,184176960.35,1183173835.1,22961853.75,847564004.32,3.11,643.21,6.84,113.0,3.25,0.66,4.3,-0.01,51.6,-0.008,-0.001,-0.003,203.1,128.72
2017-03-01,243094246.2,1293973189.86,30652758.14,1118963297.12,3.13,661.2,6.88,112.92,3.13,0.79,4.3,0.019,51.8,0.02,0.014,0.0,291.175,127.21
2017-04-01,193535010.47,1214346253.17,27300293.46,798652968.96,3.14,655.74,6.89,110.28,2.88,0.9,4.3,-0.075,51.2,-0.021,-0.008,0.005,259.725,116.89
2017-05-01,201745521.27,1323329197.48,37174585.32,1208681956.71,3.2,671.54,6.88,112.26,2.65,0.91,4.3,0.019,51.2,0.04,0.011,0.01,311.15,111.67
2017-06-01,227847424.69,1090955567.09,34943396.77,1235353051.54,3.29,665.15,6.8,110.8,2.5,1.04,4.3,0.009,51.7,-0.033,-0.045,0.0,249.7,109.86
2017-07-01,190805961.48,1362734357.29,31478116.8,1412132445.46,3.21,658.17,6.77,112.48,2.5,1.15,4.3,0.026,51.4,0.016,0.04,0.004,296.975,117.19
2017-08-01,295933145.6,1721078137.07,37587125.75,1549870264.23,3.15,644.24,6.68,109.78,2.5,1.16,4.3,0.014,51.7,-0.008,0.005,0.002,228.45,127.02
2017-09-01,271491095.34,1372576165.15,26304114.5,1308534200.6100001,3.13,625.54,6.56,110.57,2.5,1.15,4.3,-0.014,52.4,0.021,0.025,-0.009,297.25,126.1
2017-10-01,236525022.48,1735311549.03,20232594.0,1692454933.73,3.18,629.55,6.62,112.84,2.5,1.15,4.3,0.006,51.6,-0.011,0.04,0.003,274.625,124.23
2017-11-01,183172688.54,1621381928.96,19637052.21,1430077010.97,3.26,633.77,6.63,112.79,2.5,1.16,4.3,0.019,51.8,0.005,0.026,0.009,188.525,125.77
2017-12-01,292264644.18,1707851739.17,26138108.31,1564004647.0,3.29,636.92,6.6,112.87,2.5,1.3,4.3,-0.034,51.6,0.006,0.053,0.002,201.725,130.23
2018-01-01,275447232.7,1851119252.8600001,30954037.96,1507943212.58,3.22,605.53,6.43,111.01,2.5,1.41,4.3,0.057,51.3,0.027,0.047,0.009,305.575,136.61
2018-02-01,297618155.52,1305744947.03,23362482.87,1313980121.12,3.25,596.84,6.31,108.02,2.5,1.42,4.3,0.037,50.3,-0.066,0.043,-0.001,330.822,137.62
2018-03-01,314025416.02,1684226356.48,30055234.6,1192389016.07,3.28,603.45,6.32,106.11,2.5,1.51,4.3,-0.024,51.5,0.041,0.057,0.011,383.075,132.47
2018-04-01,252604105.60999998,1649709884.9,34203876.33,1480759414.28,3.4,600.55,6.29,107.46,2.5,1.69,4.31,0.118,51.4,0.012,0.028,0.005,334.65,133.89
2018-05-01,320790948.16,1561231278.52,40446912.14,1598679081.83,3.62,626.12,6.36,109.59,2.5,1.7,4.31,0.018,51.9,0.003,0.013,0.007,311.525,134.35
2018-06-01,289809067.5,1633663324.61,40283893.43,1503861511.39,3.77,636.15,6.46,110.01,2.5,1.82,4.31,0.072,51.5,-0.002,0.089,-0.001,294.525,135.31
2018-07-01,313658046.19,1419572974.71,38493736.77,2080100487.42,3.82,652.41,6.73,111.4,2.5,1.91,4.31,-0.014,51.2,-0.021,-0.066,0.006,254.425,126.91
