periodo,Real_Brasil/ USD,Peso_Chile/ USD,Yuan_China/ USD,Yen_Japon/ USD, TPM_chile,TPM_usa,TPM_china,IPI_Chile,IPM_China,IPI_Japon,IPI_Brasil,IPI_EUA,Inv. de B.M.L.  (Toneladas Metricas),Precio BM ($/mt),
2010-01-01,1.77,500.66,6.83,91.17,0.50,0.11,,,55.8000,0.0220,0.1896,0.0060,541.05,171.66,4
2010-02-01,1.85,532.56,6.83,90.20,0.50,0.13,,,52.0000,0.0250,0.1588,0.0090,549.725,167.30,
2010-03-01,1.79,523.16,6.83,90.51,0.50,0.16,,,55.1000,-0.0090,0.1695,0.0010,514.325,183.10,
2010-04-01,1.76,520.62,6.83,93.40,0.50,0.20,,,55.7000,0.0030,0.1862,0.0010,499.3,207.59,
2010-05-01,1.81,533.21,6.83,92.02,0.50,0.20,,,53.9000,0.0130,0.1655,0.0080,476.725,187.03,
2010-06-01,1.81,536.67,6.82,90.95,0.74,0.18,,0.0290,52.1000,-0.0010,0.1424,0.0120,451.1,170.55,
2010-07-01,1.77,531.72,6.78,87.66,1.24,0.18,,0.0330,51.2000,-0.0150,0.1117,0.0010,413.5,164.21,
2010-08-01,1.76,509.32,6.79,85.48,1.80,0.19,,0.0690,51.7000,0.0030,0.0942,0.0100,398.525,182.31,
2010-09-01,1.72,493.93,6.75,84.26,2.20,0.19,,0.0300,53.8000,-0.0030,0.0853,0.0020,374.15,184.67,
2010-10-01,1.68,484.04,6.67,81.93,2.64,0.19,,0.0170,54.7000,-0.0190,0.0644,-0.0020,368.5,195.45,
2010-11-01,1.71,482.32,6.65,82.52,2.87,0.19,,0.0250,55.2000,-0.0180,0.0199,0.0000,355.75,202.82,
2010-12-01,1.70,474.78,6.65,83.37,3.12,0.18,,0.0380,53.9000,0.0100,0.0533,0.0040,377.55,213.36,
2011-01-01,1.67,489.44,6.60,82.59,3.25,0.17,,0.0400,52.9000,0.0310,0.0430,0.0080,394.025,225.06,
2011-02-01,1.67,475.69,6.59,82.57,3.34,0.16,,0.0190,52.2000,0.0240,0.0270,-0.0010,421,234.69,
2011-03-01,1.66,479.65,6.57,81.61,3.72,0.14,,0.3080,53.4000,0.0040,0.0190,-0.0010,439.85,221.39,
2011-04-01,1.59,471.32,6.53,83.31,4.30,0.10,,0.0950,52.9000,-0.1530,0.0310,0.0080,463.65,226.95,
2011-05-01,1.61,467.73,6.50,81.09,4.80,0.09,,0.0970,52.0000,0.0100,0.0050,0.0000,467.775,218.57,
2011-06-01,1.59,469.41,6.47,80.48,5.13,0.09,,0.0400,50.9000,0.0570,-0.0010,0.0010,465.25,214.19,
2011-07-01,1.56,462.94,6.46,79.46,5.25,0.07,,0.0070,50.7000,0.0390,0.0170,0.0020,466.55,219.01,
2011-08-01,1.59,466.79,6.41,77.05,5.25,0.10,,0.0170,50.9000,0.0060,0.0090,0.0090,463.825,213.30,
2011-09-01,1.73,483.69,6.39,76.82,5.25,0.08,,0.0500,51.2000,0.0080,0.0140,0.0020,473.7,206.27,
2011-10-01,1.79,511.74,6.37,76.65,5.25,0.07,,-0.0080,50.4000,-0.0400,0.0100,0.0020,429.375,182.79,
2011-11-01,1.78,508.44,6.36,77.39,5.25,0.08,,0.0200,49.0000,0.0240,-0.0160,0.0070,386.625,175.18,
2011-12-01,1.84,517.17,6.35,77.84,5.25,0.07,,0.0050,50.3000,-0.0260,-0.0270,-0.0020,370.9,174.89,
2012-01-01,1.79,501.34,6.31,76.96,5.10,0.08,,0.0370,50.5000,0.0400,-0.0210,0.0040,330.825,183.22,
2012-02-01,1.72,481.49,6.30,78.32,5.00,0.10,,0.0490,51.0000,0.0200,-0.0120,0.0000,296.425,187.27,
2012-03-01,1.79,485.40,6.31,82.41,5.00,0.13,,0.0020,53.1000,-0.0120,-0.0340,0.0000,256.275,187.70,
2012-04-01,1.85,486.00,6.30,81.44,5.00,0.14,,0.0260,53.3000,0.0100,-0.0390,0.0000,241.55,186.18,
2012-05-01,1.98,497.09,6.32,79.76,5.00,0.16,,0.0280,50.4000,0.0020,-0.0210,0.0110,230.675,176.15,
2012-06-01,2.05,505.63,6.36,79.27,5.00,0.16,,0.0110,50.2000,-0.0310,-0.0290,-0.0010,257.15,169.98,
2012-07-01,2.03,491.93,6.37,79.04,5.00,0.16,,0.0060,50.1000,-0.0010,-0.0430,0.0040,248.825,166.36,
2012-08-01,2.03,480.99,6.36,78.65,5.00,0.13,,0.0360,49.2000,-0.0120,-0.0550,0.0060,229.9,154.21,
2012-09-01,2.03,474.97,6.33,78.10,5.00,0.14,,-0.0560,49.8000,-0.0130,-0.0290,-0.0120,219.4,156.92,
2012-10-01,2.03,475.36,6.27,78.92,5.00,0.16,,0.0910,50.2000,-0.0410,-0.0200,0.0040,239.775,162.63,
2012-11-01,2.07,480.57,6.23,80.95,5.00,0.16,,0.0080,50.6000,0.0180,-0.0380,-0.0040,248.15,162.69,
2012-12-01,2.08,477.13,6.23,83.47,5.00,0.16,,-0.0250,50.6000,-0.0170,0.0230,0.0110,320.05,171.85,
2013-01-01,2.03,472.67,6.22,88.87,5.00,0.14,,0.0430,50.4000,0.0250,-0.0100,0.0030,371.75,183.41,
2013-02-01,1.97,472.34,6.23,93.02,5.00,0.15,,0.0090,50.1000,0.0100,-0.0360,-0.0010,446.7,185.81,
2013-03-01,1.98,472.48,6.21,94.80,5.00,0.14,,-0.0300,50.9000,-0.0010,0.0570,0.0070,569.775,172.56,
2013-04-01,2.00,472.14,6.18,97.65,5.00,0.15,,0.0340,50.6000,0.0020,-0.0320,0.0040,618.6,166.77,
2013-05-01,2.03,479.58,6.14,100.91,5.00,0.11,,-0.0420,50.8000,0.0170,-0.0330,-0.0050,608.45,159.24,
