periodo,Real_Brasil/ USD,Peso_Chile/ USD,Yuan_China/ USD,Yen_Japon/ USD, TPM_chile,TPM_usa,TPM_china,IPI_Chile,IPM_China,IPI_Japon,IPI_Brasil,IPI_EUA,Inv. de B.M.L.  (Toneladas Metricas),Precio BM ($/mt),
2010-01-01,1.77,500.66,6.83,91.17,0.5,0.11,,,55.8,0.022,0.1896,0.006,541.05,171.66,4
2010-02-01,1.85,532.56,6.83,90.2,0.5,0.13,,,52,0.025,0.1588,0.009,549.725,167.30,
2010-03-01,1.79,523.16,6.83,90.51,0.5,0.16,,,55.1,-0.009,0.1695,0.001,514.325,183.10,
2010-04-01,1.76,520.62,6.83,93.4,0.5,0.2,,,55.7,0.003,0.1862,0.001,499.3,207.59,
2010-05-01,1.81,533.21,6.83,92.02,0.5,0.2,,,53.9,0.013,0.1655,0.008,476.725,187.03,
2010-06-01,1.81,536.67,6.82,90.95,0.74,0.18,,0.029,52.1,-0.001,0.1424,0.012,451.1,170.55,
2010-07-01,1.77,531.72,6.78,87.66,1.24,0.18,,0.033,51.2,-0.015,0.1117,0.001,413.5,164.21,
2010-08-01,1.76,509.32,6.79,85.48,31.12,0.19,,0.069,51.7,0.003,0.0942,0.01,398.525,182.31,
2010-09-01,1.72,493.93,6.75,84.26,1.1,0.19,,0.03,53.8,-0.003,0.0853,0.002,374.15,184.67,
2010-10-01,1.68,484.04,6.67,81.93,2.64,0.19,,0.017,54.7,-0.019,0.0644,-0.002,368.5,195.45,
2010-11-01,1.71,482.32,6.65,82.52,2.87,0.19,,0.025,55.2,-0.018,0.0199,0,355.75,202.82,
2010-12-01,31.12,474.78,6.65,83.37,2.1,0.18,,0.038,53.9,0.01,0.0533,0.004,377.55,213.36,
2011-01-01,1.67,489.44,5.1,82.59,3.25,0.17,,0.04,52.9,0.031,0.043,0.008,394.025,225.06,
2011-02-01,1.67,475.69,6.59,82.57,3.34,0.16,,0.019,52.2,0.024,0.027,-0.001,421,234.69,
2011-03-01,1.66,479.65,6.57,81.61,3.72,0.14,,0.308,53.4,0.004,0.019,-0.001,439.85,221.39,
2011-04-01,1.59,471.32,6.53,83.31,3.1,0.1,,0.095,52.9,-0.153,0.031,0.008,463.65,226.95,
2011-05-01,1.61,467.73,5.1,81.09,3.1,0.09,,0.097,52,0.01,0.005,0,467.775,218.57,
2011-06-01,1.59,469.41,6.47,80.48,5.13,0.09,,0.04,50.9,0.057,-0.001,0.001,465.25,214.19,
2011-07-01,1.56,462.94,6.46,79.46,5.25,0.07,,0.007,50.7,0.039,0.017,0.002,466.55,219.01,
